                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3781,                 2.6727,                  1.569,                0.89734,                0.16128,                 0.3244,                0.18131,                 1.2958,                 2.9132,                 1.5361,             0.00046676,             0.00046676,             0.00046676
                      2,                 1.3574,                 2.1852,                 1.5842,                0.74499,                0.25595,                0.25907,                0.13034,                 1.4753,                 2.4779,                 1.6924,             0.00093138,             0.00093138,             0.00093138
                      3,                 1.3885,                 2.1536,                 1.5736,                0.55175,                0.27943,                0.33628,                0.17044,                 1.6924,                 2.4951,                 2.0131,              0.0013768,              0.0013768,              0.0013768
                      4,                 1.4917,                 2.1547,                 1.6675,                0.31888,                0.43662,                0.24394,                0.11534,                 1.7049,                 2.9472,                 2.0954,               0.001568,               0.001568,               0.001568
                      5,                 1.5137,                 2.1023,                 1.6604,                0.81385,                0.27976,                0.35496,                0.17416,                 1.5746,                 3.1129,                 1.9662,               0.001535,               0.001535,               0.001535
                      6,                 1.4572,                 2.0374,                  1.634,                0.35004,                0.41807,                 0.3437,                 0.1579,                 1.7797,                 2.8322,                 2.0484,               0.001502,               0.001502,               0.001502
                      7,                 1.4681,                  2.034,                 1.6326,                0.38877,                0.34804,                0.39616,                0.18149,                  1.645,                 2.3677,                 1.9297,               0.001469,               0.001469,               0.001469
                      8,                 1.4014,                 2.0326,                 1.5903,                0.40897,                0.47936,                0.38548,                0.19328,                 1.6917,                 2.1862,                 1.8985,               0.001436,               0.001436,               0.001436
                      9,                 1.3893,                 1.9441,                 1.5868,                0.43447,                0.53326,                0.46166,                0.23567,                 1.5499,                 2.2043,                 1.8662,              0.0014029,              0.0014029,              0.0014029
                     10,                 1.3818,                 1.8273,                 1.5928,                0.51874,                0.46919,                0.47705,                0.20682,                 1.7085,                  2.155,                 1.9512,              0.0013699,              0.0013699,              0.0013699
                     11,                  1.365,                  1.843,                 1.5301,                0.40214,                0.45874,                0.39279,                0.19244,                 1.6648,                 2.1374,                 1.8227,              0.0013369,              0.0013369,              0.0013369
                     12,                 1.4312,                 1.8378,                 1.5827,                0.53415,                0.53326,                0.50097,                0.24515,                 1.5646,                 2.0331,                 1.6977,              0.0013039,              0.0013039,              0.0013039
                     13,                 1.3624,                 1.7981,                 1.5452,                0.45675,                0.59314,                0.52194,                 0.2337,                  1.666,                  1.968,                 1.7809,              0.0012709,              0.0012709,              0.0012709
                     14,                 1.3133,                 1.7025,                  1.483,                0.59145,                0.45436,                0.45682,                 0.2343,                 1.5868,                  2.051,                 1.7624,              0.0012379,              0.0012379,              0.0012379
                     15,                 1.3573,                 1.6997,                 1.5613,                0.51976,                0.48389,                0.47851,                 0.2365,                 1.6153,                 1.9087,                 1.7909,              0.0012049,              0.0012049,              0.0012049
                     16,                 1.3393,                 1.6925,                 1.5122,                0.60527,                0.35869,                0.46668,                0.24133,                 1.5587,                  2.012,                 1.7615,              0.0011719,              0.0011719,              0.0011719
                     17,                 1.2801,                 1.6471,                 1.4865,                0.66765,                0.45693,                0.54188,                0.27799,                 1.4373,                 1.8712,                 1.6856,              0.0011389,              0.0011389,              0.0011389
                     18,                 1.2947,                 1.5886,                 1.4876,                0.53908,                0.56262,                0.54953,                0.26408,                 1.5425,                 1.8833,                 1.7164,              0.0011059,              0.0011059,              0.0011059
                     19,                 1.2181,                 1.5474,                 1.4295,                0.50779,                0.48248,                0.51984,                0.28791,                 1.4425,                  1.844,                 1.6313,              0.0010729,              0.0010729,              0.0010729
                     20,                 1.2461,                  1.513,                 1.4219,                0.47314,                0.57983,                0.52487,                0.27973,                 1.5304,                 1.9086,                 1.7248,              0.0010399,              0.0010399,              0.0010399
                     21,                 1.2254,                 1.4828,                 1.4372,                0.57649,                0.50945,                0.54045,                0.27805,                 1.6464,                 1.8676,                 1.7959,              0.0010069,              0.0010069,              0.0010069
                     22,                 1.1964,                 1.5066,                 1.4246,                0.56586,                 0.5802,                0.59181,                0.28253,                 1.5369,                 1.8277,                 1.6884,             0.00097386,             0.00097386,             0.00097386
                     23,                 1.2431,                 1.4992,                 1.4643,                 0.5125,                0.63375,                 0.6021,                0.30882,                 1.5014,                 1.7513,                 1.6984,             0.00094085,             0.00094085,             0.00094085
                     24,                 1.1827,                 1.3826,                 1.4089,                0.59215,                0.53922,                0.56033,                 0.2801,                 1.4828,                 1.7526,                 1.6597,             0.00090785,             0.00090785,             0.00090785
                     25,                 1.1675,                 1.4449,                 1.4021,                0.62813,                  0.507,                0.54768,                0.28329,                 1.4596,                 1.6988,                 1.6675,             0.00087484,             0.00087484,             0.00087484
                     26,                 1.1581,                 1.3998,                 1.3798,                0.74946,                0.52237,                0.63572,                0.30373,                 1.4697,                 1.6669,                  1.656,             0.00084184,             0.00084184,             0.00084184
                     27,                 1.1003,                 1.2855,                 1.3498,                0.61654,                0.55617,                0.63399,                 0.3142,                 1.4539,                 1.6093,                 1.7065,             0.00080883,             0.00080883,             0.00080883
                     28,                 1.1256,                 1.2853,                 1.3697,                0.58783,                 0.6131,                0.59717,                0.29844,                 1.4196,                 1.6417,                 1.6625,             0.00077582,             0.00077582,             0.00077582
                     29,                 1.0681,                 1.2403,                 1.3192,                0.58712,                0.61905,                0.59081,                0.30277,                 1.4455,                 1.6008,                 1.6832,             0.00074282,             0.00074282,             0.00074282
                     30,                 1.0987,                 1.2989,                 1.3695,                0.52912,                0.55507,                0.59948,                0.28433,                 1.4533,                 1.5812,                 1.6739,             0.00070981,             0.00070981,             0.00070981
                     31,                 1.0567,                 1.2764,                 1.3262,                0.56885,                0.56303,                0.58027,                0.30031,                 1.4166,                 1.5399,                 1.6249,              0.0006768,              0.0006768,              0.0006768
                     32,                 1.0497,                 1.2212,                 1.3176,                0.75367,                0.54311,                0.65009,                0.32226,                 1.4758,                  1.458,                 1.6681,              0.0006438,              0.0006438,              0.0006438
                     33,                  1.049,                 1.1736,                 1.2915,                0.63669,                0.55987,                0.64738,                0.31916,                 1.4689,                 1.5225,                 1.6693,             0.00061079,             0.00061079,             0.00061079
                     34,                0.98837,                 1.1005,                  1.269,                0.53291,                 0.6131,                0.57778,                 0.3128,                 1.4279,                 1.5683,                 1.6347,             0.00057778,             0.00057778,             0.00057778
                     35,                0.99311,                    1.1,                 1.2647,                0.53701,                0.62258,                0.60971,                0.31078,                 1.5088,                 1.5741,                  1.721,             0.00054478,             0.00054478,             0.00054478
                     36,                 1.0096,                 1.1461,                 1.2745,                0.53233,                0.66107,                0.61085,                0.32669,                 1.4458,                 1.4075,                 1.6513,             0.00051177,             0.00051177,             0.00051177
                     37,                 0.9788,                 1.0614,                 1.2304,                0.52431,                0.68102,                0.62475,                0.34317,                  1.429,                 1.4083,                  1.644,             0.00047876,             0.00047876,             0.00047876
                     38,                0.93859,                 1.0153,                 1.2104,                0.61171,                0.59244,                0.62082,                0.32885,                  1.435,                 1.4916,                  1.627,             0.00044576,             0.00044576,             0.00044576
                     39,                0.98815,                 1.0365,                 1.2527,                0.59776,                 0.6187,                 0.6391,                0.33106,                  1.443,                 1.4943,                 1.6203,             0.00041275,             0.00041275,             0.00041275
                     40,                0.92762,                0.99573,                 1.2155,                0.61441,                0.59924,                0.63661,                 0.3208,                 1.4647,                 1.5397,                 1.6393,             0.00037974,             0.00037974,             0.00037974
                     41,                0.92539,                 1.1171,                 1.2041,                0.53723,                0.65126,                0.60338,                0.30994,                 1.4732,                 1.5973,                  1.649,             0.00034674,             0.00034674,             0.00034674
                     42,                0.82859,                0.92139,                 1.1515,                0.61496,                0.65126,                0.62859,                0.33608,                 1.4754,                 1.6138,                 1.6564,             0.00031373,             0.00031373,             0.00031373
                     43,                0.86063,                0.92616,                 1.1725,                0.69303,                0.60638,                 0.6691,                0.34957,                 1.4846,                 1.4812,                 1.6792,             0.00028072,             0.00028072,             0.00028072
                     44,                0.83625,                0.85254,                 1.1706,                0.65915,                0.58716,                0.63932,                0.33958,                 1.4436,                 1.5093,                  1.638,             0.00024772,             0.00024772,             0.00024772
                     45,                 0.8364,                0.84354,                 1.1485,                0.64364,                0.59804,                0.63881,                 0.3357,                 1.4549,                 1.5624,                 1.6422,             0.00021471,             0.00021471,             0.00021471
                     46,                0.78728,                0.80701,                 1.1283,                 0.6617,                0.51541,                0.59428,                0.31876,                 1.4142,                  1.566,                 1.6089,              0.0001817,              0.0001817,              0.0001817
                     47,                0.76987,                0.76699,                 1.1315,                0.65648,                0.51854,                0.60462,                0.32478,                 1.4245,                 1.5087,                  1.616,              0.0001487,              0.0001487,              0.0001487
                     48,                0.74799,                0.74948,                 1.0879,                0.64609,                0.57071,                0.65963,                0.34783,                 1.4345,                 1.4402,                 1.6304,             0.00011569,             0.00011569,             0.00011569
                     49,                0.77363,                0.73727,                 1.1188,                 0.5861,                0.66912,                0.67584,                0.35493,                 1.4217,                 1.4275,                 1.6422,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                0.73802,                 0.7531,                 1.0975,                0.59487,                0.66036,                0.68144,                0.35342,                 1.4217,                 1.4357,                 1.6429,             4.9677e-05,             4.9677e-05,             4.9677e-05
